,city,date,meeting,url,doc_type
70,San Mateo,2021-03-09 19:00:00,Planning Commission Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12798,Packet
71,San Mateo,2021-03-09 19:00:00,Planning Commission Regular Meeting,https://youtube.com/watch?v=0C5jACT4ZNU,Video
72,San Mateo,2021-03-08 16:00:00,Civic Arts Committee Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12788,Agenda
73,San Mateo,2021-03-08 16:00:00,Civic Arts Committee Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12790,Packet
74,San Mateo,2021-03-08 16:00:00,Senior Citizens Commission Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12768,Agenda
75,San Mateo,2021-03-08 16:00:00,Senior Citizens Commission Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12771,Packet
76,San Mateo,2021-03-08 16:00:00,Senior Citizens Commission Regular Meeting,https://youtube.com/watch?v=5HC8ZcB9M0s,Video
77,San Mateo,2021-03-03 19:00:00,Park and Recreation Commission Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12651,Agenda
78,San Mateo,2021-03-03 19:00:00,Park and Recreation Commission Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12657,Packet
79,San Mateo,2021-03-03 19:00:00,Park and Recreation Commission Regular Meeting,https://youtube.com/watch?v=jhY5lZay3GQ,Video
80,San Mateo,2021-03-01 19:00:00,City Council Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12746,Agenda
81,San Mateo,2021-03-01 19:00:00,City Council Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12747,Packet
82,San Mateo,2021-03-01 19:00:00,City Council Regular Meeting,https://youtube.com/watch?v=T3XC9r65MAE,Video
